item_id,item_name,category,quantity_per_packet,packets_available,price
1,Basmati Rice,Grains,1 kg,120,140
2,Boiled Rice,Grains,1 kg,100,60
3,Wheat Flour,Grains,5 kg,80,220
4,Ragi Flour,Grains,1 kg,70,55
5,Jowar Flour,Grains,1 kg,65,50
6,Toor Dal,Pulses,1 kg,90,120
7,Moong Dal,Pulses,1 kg,85,110
8,Chana Dal,Pulses,1 kg,80,100
9,Urad Dal,Pulses,1 kg,70,130
10,Masoor Dal,Pulses,1 kg,75,95

11,Sugar,Essentials,1 kg,150,45
12,Salt,Essentials,1 kg,200,20
13,Jaggery,Essentials,1 kg,90,50
14,Cooking Oil,Oil,1 L,85,160
15,Groundnut Oil,Oil,1 L,70,170
16,Sunflower Oil,Oil,1 L,90,155
17,Coconut Oil,Oil,500 ml,65,140
18,Ghee,Dairy,500 ml,40,280
19,Butter,Dairy,100 g,75,55
20,Paneer,Dairy,200 g,60,90

21,Milk,Dairy,1 L,180,50
22,Curd,Dairy,500 g,90,30
23,Cheese,Dairy,200 g,55,120
24,Yogurt Drink,Dairy,200 ml,85,25
25,Flavoured Milk,Dairy,200 ml,95,30

26,Bread,Bakery,400 g,110,35
27,Brown Bread,Bakery,400 g,85,40
28,Buns,Bakery,6 pcs,65,30
29,Rusk,Bakery,500 g,70,45
30,Cake Slice,Bakery,1 pc,50,60

31,Poha,Breakfast,500 g,95,45
32,Oats,Breakfast,1 kg,80,80
33,Cornflakes,Breakfast,500 g,70,120
34,Upma Mix,Breakfast,500 g,65,50
35,Idli Batter,Breakfast,1 kg,60,60
36,Dosa Batter,Breakfast,1 kg,55,65
37,Pongal Mix,Breakfast,500 g,50,55
38,Instant Oats,Breakfast,400 g,60,95
39,Peanut Butter,Breakfast,340 g,45,140
40,Honey,Breakfast,500 g,40,180

41,Good Day Biscuits,Snacks,200 g,140,20
42,Mom's Magic Biscuits,Snacks,200 g,120,25
43,Marie Gold Biscuits,Snacks,250 g,160,15
44,Hide & Seek Biscuits,Snacks,200 g,110,30
45,Milk Bikis Biscuits,Snacks,200 g,130,10
46,Krackjack Biscuits,Snacks,200 g,125,15
47,Bourbon Biscuits,Snacks,150 g,115,30
48,Oreo Biscuits,Snacks,120 g,100,30
49,Little Hearts Biscuits,Snacks,75 g,90,25
50,50-50 Biscuits,Snacks,200 g,110,20

51,Potato Chips,Snacks,90 g,150,30
52,Banana Chips,Snacks,150 g,85,45
53,Mixture,Snacks,250 g,100,35
54,Namkeen Mix,Snacks,250 g,95,40
55,Popcorn Kernels,Snacks,200 g,70,25
56,Nachos,Snacks,150 g,65,60
57,Corn Puffs,Snacks,80 g,75,20
58,Roasted Peanuts,Snacks,250 g,110,40
59,Chikki,Snacks,100 g,95,25
60,Murukku,Snacks,200 g,80,30

61,Tea Powder,Beverage,250 g,90,90
62,Coffee Powder,Beverage,200 g,65,120
63,Green Tea,Beverage,100 g,55,150
64,Tea Bags,Beverage,100 pcs,45,140
65,Instant Coffee,Beverage,100 g,60,110
66,Soft Drink,Beverage,750 ml,85,40
67,Fruit Juice,Beverage,1 L,75,60
